mock_id,date,source,teams,slot,round,pick,player,position,team,notes
2026-08-01-espn,2026-08-01,ESPN,12,3,1,3,Christian McCaffrey,RB,SF,
2026-08-01-espn,2026-08-01,ESPN,12,3,2,22,Brock Bowers,TE,LV,
2026-08-01-espn,2026-08-01,ESPN,12,3,3,27,Chris Olave,WR,NO,
2026-08-01-espn,2026-08-01,ESPN,12,3,4,46,Jalen Hurts,QB,PHI,
2026-08-01-espn,2026-08-01,ESPN,12,3,5,51,DJ Moore,WR,BUF,
2026-08-01-espn,2026-08-01,ESPN,12,3,6,70,Sam LaPorta,TE,DET,
2026-08-01-espn,2026-08-01,ESPN,12,3,7,75,Chuba Hubbard,RB,CAR,
2026-08-01-espn,2026-08-01,ESPN,12,3,8,94,Jakobi Meyers,WR,JAX,
2026-08-01-espn,2026-08-01,ESPN,12,3,9,99,Rico Dowdle,RB,PIT,
2026-08-01-espn,2026-08-01,ESPN,12,3,10,118,Kenyon Sadiq,TE,NYJ,
2026-08-01-espn,2026-08-01,ESPN,12,3,11,123,KC Concepcion,WR,CLE,
2026-08-01-espn,2026-08-01,ESPN,12,3,12,142,Brian Robinson Jr.,RB,ATL,
2026-08-01-espn,2026-08-01,ESPN,12,3,13,147,Rashid Shaheed,WR,SEA,
2026-08-01-espn,2026-08-01,ESPN,12,3,14,166,Chiefs D/ST,DST,KC,
2026-08-01-espn,2026-08-01,ESPN,12,3,15,171,Harrison Mevis,K,LAR,
2026-08-01-espn,2026-08-01,ESPN,12,3,16,190,Jauan Jennings,WR,MIN,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,1,3,Christian McCaffrey,RB,SF,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,2,22,Jeremiyah Love,RB,ARI,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,3,27,Malik Nabers,WR,NYG,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,4,46,TreVeyon Henderson,RB,NE,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,5,51,DJ Moore,WR,BUF,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,6,70,Jordyn Tyson,WR,NO,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,7,75,Chuba Hubbard,RB,CAR,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,8,94,Matthew Stafford,QB,LAR,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,9,99,Michael Pittman,WR,PIT,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,10,118,Jake Ferguson,TE,DAL,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,11,123,KC Concepcion,WR,CLE,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,12,142,Jonathon Brooks,RB,CAR,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,13,147,Zachariah Branch,WR,ATL,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,14,166,Alvin Kamara,RB,NO,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,15,171,Fernando Mendoza,QB,LV,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,16,190,Pittsburgh Steelers,DST,PIT,
2026-08-08-sleeper,2026-08-08,Sleeper,12,3,17,195,Ryan Fitzgerald,K,CAR,
